fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,fg%,3pt%,ft%,team,home,date,game_id
35-77,6-17,21-33,6,46,52,5,14,22,1,0,97,63.6,35.3,35.3,Suns,1,2018-04-03,400975913
45-99,16-38,16-20,13,42,55,7,15,22,0,0,122,80.0,42.1,42.1,Pelicans,0,2018-04-06,400975935
37-94,9-33,20-26,12,36,48,4,14,18,0,0,103,76.9,27.3,27.3,Suns,1,2018-04-06,400975935
47-90,13-32,10-15,5,36,41,7,11,15,0,0,117,66.7,40.6,40.6,Warriors,0,2018-04-08,400975949
39-92,10-35,12-16,8,36,44,0,13,16,2,0,100,75.0,28.6,28.6,Suns,1,2018-04-08,400975949
48-76,13-26,15-21,5,41,46,6,14,16,1,0,124,71.4,50.0,50.0,Suns,0,2018-04-10,400975962
37-97,8-33,15-22,18,22,40,1,8,19,0,0,97,68.2,24.2,24.2,Mavericks,1,2018-04-10,400975962
44-90,14-24,22-28,15,42,57,7,16,20,2,0,124,78.6,58.3,58.3,Trail Blazers,0,2017-10-18,400974767
28-89,7-27,13-18,10,23,33,8,16,22,0,0,76,72.2,25.9,25.9,Suns,1,2017-10-18,400974767
46-95,9-19,13-17,11,40,51,6,9,26,0,0,114,76.5,47.4,47.4,Trail Blazers,0,2017-10-20,400974771
35-78,4-18,22-33,6,33,39,4,12,17,0,0,96,66.7,22.2,22.2,Pacers,1,2017-10-20,400974771
34-81,11-28,31-35,13,29,42,6,16,22,0,0,110,88.6,39.3,39.3,Trail Blazers,0,2017-10-21,400974785
42-80,7-18,22-30,7,28,35,8,14,23,0,0,113,73.3,38.9,38.9,Bucks,1,2017-10-21,400974785
30-76,9-30,24-32,4,38,42,7,17,26,0,0,93,75.0,30.0,30.0,Pelicans,0,2017-10-24,400974804
33-88,10-29,27-33,18,45,63,7,18,22,0,0,103,81.8,34.5,34.5,Trail Blazers,1,2017-10-24,400974804
36-77,9-28,23-36,14,32,46,5,11,19,1,0,104,63.9,32.1,32.1,Clippers,0,2017-10-26,400974819
35-89,14-31,19-22,16,28,44,4,9,26,1,0,103,86.4,45.2,45.2,Trail Blazers,1,2017-10-26,400974819
37-87,9-26,24-30,12,34,46,7,17,23,0,0,107,80.0,34.6,34.6,Suns,0,2017-10-28,400974834
40-91,11-26,23-28,12,41,53,7,14,26,1,0,114,82.1,42.3,42.3,Trail Blazers,1,2017-10-28,400974834
39-87,8-24,13-17,8,39,47,9,9,14,1,0,99,76.5,33.3,33.3,Raptors,0,2017-10-30,400974850
31-80,8-26,15-19,6,32,38,7,13,15,0,0,85,78.9,30.8,30.8,Trail Blazers,1,2017-10-30,400974850
37-93,9-34,20-27,11,42,53,8,17,25,0,0,103,74.1,26.5,26.5,Trail Blazers,0,2017-11-01,400974866
34-90,13-29,31-36,10,45,55,8,14,21,0,0,112,86.1,44.8,44.8,Jazz,1,2017-11-01,400974866
43-79,4-18,20-27,2,30,32,8,11,20,0,0,110,74.1,22.2,22.2,Lakers,0,2017-11-02,400974869
40-86,9-22,24-27,10,31,41,4,12,21,0,0,113,88.9,40.9,40.9,Trail Blazers,1,2017-11-02,400974869
40-89,11-33,8-15,6,26,32,2,11,27,0,1,99,53.3,33.3,33.3,Thunder,0,2017-11-05,400974895
37-74,7-20,22-28,7,37,44,7,21,20,2,0,103,78.6,35.0,35.0,Trail Blazers,1,2017-11-05,400974895
35-73,7-19,21-25,5,29,34,10,14,21,1,0,98,84.0,36.8,36.8,Grizzlies,0,2017-11-07,400974908
36-81,6-19,19-20,10,32,42,1,16,18,0,0,97,95.0,31.6,31.6,Trail Blazers,1,2017-11-07,400974908
39-91,12-38,11-19,11,38,49,4,10,13,0,0,101,57.9,31.6,31.6,Nets,0,2017-11-10,400974927
40-95,8-23,9-11,12,39,51,4,10,17,1,0,97,81.8,34.8,34.8,Trail Blazers,1,2017-11-10,400974927
30-84,9-32,13-15,12,23,35,2,20,16,0,0,82,86.7,28.1,28.1,Nuggets,0,2017-11-13,400974949
38-73,7-21,16-18,8,35,43,5,21,18,1,0,99,88.9,33.3,33.3,Trail Blazers,1,2017-11-13,400974949
37-79,11-29,9-9,7,34,41,4,15,16,0,0,94,100.0,37.9,37.9,Magic,0,2017-11-15,400974964
38-87,14-27,9-13,10,31,41,2,12,10,1,0,99,69.2,51.9,51.9,Trail Blazers,1,2017-11-15,400974964
30-81,7-25,15-16,11,33,44,1,17,20,1,0,82,93.8,28.0,28.0,Trail Blazers,0,2017-11-17,400974976
36-85,4-14,10-15,12,31,43,5,13,22,0,0,86,66.7,28.6,28.6,Kings,1,2017-11-17,400974976
34-89,8-17,14-18,9,27,36,4,11,24,0,0,90,77.8,47.1,47.1,Kings,0,2017-11-18,400974985
38-70,10-21,16-21,5,39,44,8,17,22,1,0,102,76.2,47.6,47.6,Trail Blazers,1,2017-11-18,400974985
33-83,6-15,28-32,15,45,60,9,15,23,2,0,100,87.5,40.0,40.0,Trail Blazers,0,2017-11-20,400974997
33-86,8-30,18-23,5,30,35,9,8,26,0,0,92,78.3,26.7,26.7,Grizzlies,1,2017-11-20,400974997
30-89,7-26,14-24,11,37,48,6,17,17,0,0,81,58.3,26.9,26.9,Trail Blazers,0,2017-11-22,400975006
39-90,11-32,12-17,11,46,57,8,18,21,0,0,101,70.6,34.4,34.4,76ers,1,2017-11-22,400975006
48-96,6-15,25-35,12,33,45,13,7,16,0,0,127,71.4,40.0,40.0,Trail Blazers,0,2017-11-24,400975018
50-100,10-25,15-21,13,34,47,6,9,22,0,0,125,71.4,40.0,40.0,Nets,1,2017-11-24,400975018
41-80,9-24,17-22,6,35,41,6,16,16,0,0,108,77.3,37.5,37.5,Trail Blazers,0,2017-11-25,400975030
41-89,8-23,15-16,7,30,37,4,11,17,0,1,105,93.8,34.8,34.8,Wizards,1,2017-11-25,400975030
37-83,7-21,22-26,5,40,45,3,9,22,3,0,103,84.6,33.3,33.3,Trail Blazers,0,2017-11-27,400975044
35-88,5-15,16-22,14,37,51,3,13,20,0,0,91,72.7,33.3,33.3,Knicks,1,2017-11-27,400975044
42-87,6-20,13-15,5,30,35,5,9,20,0,1,103,86.7,30.0,30.0,Bucks,0,2017-11-30,400975067
35-83,6-23,15-17,10,40,50,3,19,14,0,0,91,88.2,26.1,26.1,Trail Blazers,1,2017-11-30,400975067
45-86,15-31,18-25,4,44,48,3,10,16,1,1,123,72.0,48.4,48.4,Pelicans,0,2017-12-02,400975084
47-105,11-35,11-11,9,35,44,3,4,17,0,1,116,100.0,31.4,31.4,Trail Blazers,1,2017-12-02,400975084
42-89,11-25,11-14,11,33,44,6,9,22,0,0,106,78.6,44.0,44.0,Wizards,0,2017-12-05,400975103
32-78,12-27,16-21,7,34,41,5,18,20,1,0,92,76.2,44.4,44.4,Trail Blazers,1,2017-12-05,400975103
40-75,10-25,34-42,7,28,35,2,12,17,0,0,124,81.0,40.0,40.0,Rockets,0,2017-12-09,400975135
45-88,18-41,9-12,7,26,33,5,15,28,1,0,117,75.0,43.9,43.9,Trail Blazers,1,2017-12-09,400975135
37-88,7-28,23-25,12,27,39,2,9,18,1,0,104,92.0,25.0,25.0,Trail Blazers,0,2017-12-11,400975146
44-80,10-20,13-17,6,36,42,9,14,16,0,0,111,76.5,50.0,50.0,Warriors,1,2017-12-11,400975146
36-72,10-28,20-23,5,28,33,2,11,21,0,0,102,87.0,35.7,35.7,Trail Blazers,0,2017-12-13,400975159
34-72,13-30,14-23,10,26,36,1,15,21,1,0,95,60.9,43.3,43.3,Heat,1,2017-12-13,400975159
37-86,8-18,13-15,6,39,45,9,14,20,1,0,95,86.7,44.4,44.4,Trail Blazers,0,2017-12-15,400975171
32-84,10-29,14-19,8,37,45,3,15,18,1,0,88,73.7,34.5,34.5,Magic,1,2017-12-15,400975171
37-79,10-24,9-18,5,42,47,3,20,21,0,0,93,50.0,41.7,41.7,Trail Blazers,0,2017-12-16,400975180
33-96,7-31,18-28,13,38,51,3,6,21,1,0,91,64.3,22.6,22.6,Hornets,1,2017-12-16,400975180
46-84,10-24,5-5,7,33,40,8,17,19,0,0,107,100.0,41.7,41.7,Trail Blazers,0,2017-12-18,400975197
42-91,7-19,17-21,11,21,32,2,10,14,0,0,108,81.0,36.8,36.8,Timberwolves,1,2017-12-18,400975197
41-79,6-17,5-6,9,44,53,9,23,16,0,0,93,83.3,35.3,35.3,Spurs,0,2017-12-20,400975214
38-96,6-25,9-14,12,25,37,2,8,14,1,0,91,64.3,24.0,24.0,Trail Blazers,1,2017-12-20,400975214
42-85,7-25,11-15,16,33,49,10,14,13,0,0,102,73.3,28.0,28.0,Nuggets,0,2017-12-22,400975229
35-83,6-22,9-16,10,24,34,4,9,19,1,0,85,56.3,27.3,27.3,Trail Blazers,1,2017-12-22,400975229
39-95,10-25,7-14,9,38,47,8,11,15,0,0,95,50.0,40.0,40.0,Trail Blazers,0,2017-12-23,400975242
36-85,8-25,12-20,11,44,55,3,17,22,0,0,92,60.0,32.0,32.0,Lakers,1,2017-12-23,400975242
42-87,16-32,10-14,5,32,37,2,13,26,1,1,110,71.4,50.0,50.0,76ers,0,2017-12-28,400975266
35-75,8-24,36-47,8,39,47,3,15,18,0,0,114,76.6,33.3,33.3,Trail Blazers,1,2017-12-28,400975266
36-85,7-25,10-13,15,31,46,8,20,18,0,0,89,76.9,28.0,28.0,Trail Blazers,0,2017-12-30,400975279
40-89,14-30,10-15,13,32,45,3,13,16,0,0,104,66.7,46.7,46.7,Hawks,1,2017-12-30,400975279
47-108,14-33,16-18,12,38,50,5,8,16,0,0,124,88.9,42.4,42.4,Trail Blazers,0,2018-01-01,400975293
45-104,11-27,19-23,15,43,58,7,12,21,0,0,120,82.6,40.7,40.7,Bulls,1,2018-01-01,400975293
42-90,13-32,13-19,13,30,43,5,15,29,0,0,110,68.4,40.6,40.6,Trail Blazers,0,2018-01-02,400975295
43-83,13-32,28-37,8,32,40,4,10,17,0,0,127,75.7,40.6,40.6,Cavaliers,1,2018-01-02,400975295
30-83,8-26,21-25,11,28,39,5,16,16,0,0,89,84.0,30.8,30.8,Hawks,0,2018-01-05,400975322
43-80,13-30,11-14,6,38,44,5,15,20,3,0,110,78.6,43.3,43.3,Trail Blazers,1,2018-01-05,400975322
40-81,11-23,19-26,10,32,42,5,14,16,0,0,110,73.1,47.8,47.8,Spurs,0,2018-01-07,400975335
48-92,8-23,7-10,9,29,38,5,9,24,0,0,111,70.0,34.8,34.8,Trail Blazers,1,2018-01-07,400975335
43-81,10-23,21-26,8,34,42,2,15,20,1,0,117,80.8,43.5,43.5,Trail Blazers,0,2018-01-09,400975346
37-84,13-31,19-26,11,27,38,4,14,17,0,0,106,73.1,41.9,41.9,Thunder,1,2018-01-09,400975346
40-83,9-26,23-32,6,34,40,6,12,26,2,1,112,71.9,34.6,34.6,Trail Blazers,0,2018-01-10,400975354
45-100,12-38,19-25,17,32,49,5,13,30,0,0,121,76.0,31.6,31.6,Rockets,1,2018-01-10,400975354
45-101,12-42,11-14,14,25,39,6,11,22,0,0,113,78.6,28.6,28.6,Trail Blazers,0,2018-01-12,400975370
45-82,7-19,22-23,9,34,43,6,18,16,0,0,119,95.7,36.8,36.8,Pelicans,1,2018-01-12,400975370
39-79,11-25,14-17,8,30,38,3,17,27,1,0,103,82.4,44.0,44.0,Trail Blazers,0,2018-01-14,400975383
43-80,7-19,27-33,7,31,38,3,11,17,0,0,120,81.8,36.8,36.8,Timberwolves,1,2018-01-14,400975383
37-89,16-41,21-22,12,31,43,3,13,15,0,0,111,95.5,39.0,39.0,Suns,0,2018-01-16,400975398
46-91,17-35,9-10,9,34,43,6,9,16,1,0,118,90.0,48.6,48.6,Trail Blazers,1,2018-01-16,400975398
36-91,7-26,7-13,10,36,46,4,8,16,0,0,86,53.8,26.9,26.9,Pacers,0,2018-01-18,400975412
37-94,10-32,16-16,14,43,57,7,11,11,0,0,100,100.0,31.3,31.3,Trail Blazers,1,2018-01-18,400975412
38-83,10-25,22-28,11,26,37,5,9,21,0,0,108,78.6,40.0,40.0,Mavericks,0,2018-01-20,400975428
45-86,18-36,9-10,9,31,40,3,14,23,0,0,117,90.0,50.0,50.0,Trail Blazers,1,2018-01-20,400975428
36-85,8-25,21-26,11,33,44,6,11,22,1,1,101,80.8,32.0,32.0,Trail Blazers,0,2018-01-22,400975440
34-83,10-30,26-33,14,35,49,8,15,20,0,0,104,78.8,33.3,33.3,Nuggets,1,2018-01-22,400975440
45-84,6-16,18-22,5,28,33,2,6,14,3,0,114,81.8,37.5,37.5,Timberwolves,0,2018-01-24,400975454
45-82,17-31,16-21,6,31,37,1,10,16,1,0,123,76.2,54.8,54.8,Trail Blazers,1,2018-01-24,400975454
39-79,10-30,19-23,10,44,54,6,14,17,1,0,107,82.6,33.3,33.3,Trail Blazers,0,2018-01-26,400975467
35-89,10-30,13-17,8,29,37,3,5,19,0,0,93,76.5,33.3,33.3,Mavericks,1,2018-01-26,400975467
36-98,13-30,19-22,18,41,59,6,12,21,1,0,104,86.4,43.3,43.3,Trail Blazers,0,2018-01-30,400975498
35-85,6-22,20-26,9,41,50,7,13,17,0,0,96,76.9,27.3,27.3,Clippers,1,2018-01-30,400975498
41-99,13-34,13-22,12,24,36,4,6,16,0,0,108,59.1,38.2,38.2,Bulls,0,2018-01-31,400975505
46-82,15-32,17-20,5,43,48,6,17,19,0,0,124,85.0,46.9,46.9,Trail Blazers,1,2018-01-31,400975505
37-73,7-21,24-33,4,32,36,2,10,15,1,0,105,72.7,33.3,33.3,Trail Blazers,0,2018-02-02,400975515
46-99,19-40,19-21,17,25,42,4,6,23,0,0,130,90.5,47.5,47.5,Raptors,1,2018-02-02,400975515
36-91,13-31,11-14,10,36,46,9,8,17,0,0,96,78.6,41.9,41.9,Trail Blazers,0,2018-02-04,400975530
35-85,15-36,12-17,9,42,51,6,11,16,0,0,97,70.6,41.7,41.7,Celtics,1,2018-02-04,400975530
37-94,10-33,7-8,13,32,45,5,13,14,0,0,91,87.5,30.3,30.3,Trail Blazers,0,2018-02-05,400975536
44-88,15-30,8-12,10,41,51,4,14,14,0,0,111,66.7,50.0,50.0,Pistons,1,2018-02-05,400975536
38-98,13-33,14-17,7,37,44,3,11,16,1,0,103,82.4,39.4,39.4,Hornets,0,2018-02-08,400975560
41-90,9-31,18-22,9,48,57,7,17,19,0,0,109,81.8,29.0,29.0,Trail Blazers,1,2018-02-08,400975560
43-88,15-35,17-18,9,36,45,4,11,21,0,0,118,94.4,42.9,42.9,Trail Blazers,0,2018-02-09,400975571
38-90,9-23,15-21,12,31,43,3,12,19,0,0,100,71.4,39.1,39.1,Kings,1,2018-02-09,400975571
41-88,13-26,20-22,16,42,58,4,13,22,0,0,115,90.9,50.0,50.0,Jazz,0,2018-02-11,400975586
33-81,9-25,21-25,6,31,37,4,13,22,0,0,96,84.0,36.0,36.0,Trail Blazers,1,2018-02-11,400975586
43-90,13-37,18-19,8,33,41,7,16,24,0,0,117,94.7,35.1,35.1,Warriors,0,2018-02-14,400975610
45-93,12-33,21-24,13,36,49,0,13,18,1,1,123,87.5,36.4,36.4,Trail Blazers,1,2018-02-14,400975610
39-87,9-24,13-14,6,35,41,5,12,20,0,0,100,92.9,37.5,37.5,Trail Blazers,0,2018-02-23,400975628
33-78,6-25,9-11,8,35,43,6,19,13,1,0,81,81.8,24.0,24.0,Jazz,1,2018-02-23,400975628
39-99,6-30,22-30,12,36,48,7,6,19,0,0,106,73.3,20.0,20.0,Trail Blazers,0,2018-02-24,400975635
39-87,11-26,15-21,6,45,51,10,13,24,3,0,104,71.4,42.3,42.3,Suns,1,2018-02-24,400975635
39-88,7-22,14-15,6,30,36,4,12,12,0,0,99,93.3,31.8,31.8,Kings,0,2018-02-27,400975657
44-84,15-34,13-17,10,37,47,2,17,15,1,0,116,76.5,44.1,44.1,Trail Blazers,1,2018-02-27,400975657
38-85,4-20,19-21,9,40,49,7,15,24,0,0,99,90.5,20.0,20.0,Timberwolves,0,2018-03-01,400975671
36-92,9-30,27-35,12,36,48,6,8,18,0,0,108,77.1,30.0,30.0,Trail Blazers,1,2018-03-01,400975671
40-91,6-27,14-21,9,31,40,6,12,21,0,0,100,66.7,22.2,22.2,Thunder,0,2018-03-03,400975687
39-88,11-33,19-23,14,33,47,8,15,21,0,0,108,82.6,33.3,33.3,Trail Blazers,1,2018-03-03,400975687
35-83,10-23,28-38,7,43,50,5,14,25,0,0,108,73.7,43.5,43.5,Trail Blazers,0,2018-03-05,400975702
34-87,11-37,24-31,7,40,47,7,10,24,1,0,103,77.4,29.7,29.7,Lakers,1,2018-03-05,400975702
35-83,7-19,10-15,9,30,39,7,14,19,0,0,87,66.7,36.8,36.8,Knicks,0,2018-03-06,400975708
35-81,20-33,21-24,15,36,51,4,19,15,1,0,111,87.5,60.6,60.6,Trail Blazers,1,2018-03-06,400975708
38-78,12-28,20-24,6,27,33,3,10,20,2,0,108,83.3,42.9,42.9,Warriors,0,2018-03-09,400975730
44-89,16-39,21-27,14,32,46,2,11,17,0,0,125,77.8,41.0,41.0,Trail Blazers,1,2018-03-09,400975730
39-91,10-31,11-16,10,36,46,4,11,24,0,0,99,68.8,32.3,32.3,Heat,0,2018-03-12,400975750
38-83,14-36,25-30,9,41,50,6,12,15,1,0,115,83.3,38.9,38.9,Trail Blazers,1,2018-03-12,400975750
41-80,11-33,12-21,2,32,34,7,11,21,0,0,105,57.1,33.3,33.3,Cavaliers,0,2018-03-15,400975774
43-96,12-35,15-19,13,37,50,3,7,15,0,0,113,78.9,34.3,34.3,Trail Blazers,1,2018-03-15,400975774
31-80,10-25,15-20,8,35,43,2,12,16,0,0,87,75.0,40.0,40.0,Pistons,0,2018-03-17,400975791
38-87,8-31,16-18,9,40,49,8,11,17,0,0,100,88.9,25.8,25.8,Trail Blazers,1,2018-03-17,400975791
46-92,14-29,16-20,8,39,47,6,13,22,0,0,122,80.0,48.3,48.3,Trail Blazers,0,2018-03-18,400975795
40-89,9-23,20-27,8,30,38,3,8,17,0,0,109,74.1,39.1,39.1,Clippers,1,2018-03-18,400975795
38-79,19-36,20-29,7,31,38,4,9,23,0,0,115,69.0,52.8,52.8,Rockets,0,2018-03-20,400975810
40-81,11-28,20-27,10,34,44,7,8,18,0,0,111,74.1,39.3,39.3,Trail Blazers,1,2018-03-20,400975810
35-77,11-18,24-26,9,36,45,4,13,18,0,0,105,92.3,61.1,61.1,Celtics,0,2018-03-23,400975832
40-91,8-33,12-15,11,32,43,5,8,20,0,0,100,80.0,24.2,24.2,Trail Blazers,1,2018-03-23,400975832
42-90,9-34,15-19,18,31,49,7,13,19,1,0,108,78.9,26.5,26.5,Trail Blazers,0,2018-03-25,400975846
37-84,8-27,23-28,13,26,39,5,10,19,1,0,105,82.1,29.6,29.6,Thunder,1,2018-03-25,400975846
44-105,10-32,9-10,17,30,47,7,10,17,0,0,107,90.0,31.3,31.3,Trail Blazers,0,2018-03-27,400975858
43-94,4-24,13-14,11,43,54,10,16,19,0,0,103,92.9,16.7,16.7,Pelicans,1,2018-03-27,400975858
38-79,8-30,19-30,8,30,38,8,12,20,0,0,103,63.3,26.7,26.7,Trail Blazers,0,2018-03-28,400975865
41-84,13-25,13-23,11,35,46,2,15,24,0,0,108,56.5,52.0,52.0,Grizzlies,1,2018-03-28,400975865
36-89,4-13,20-35,11,35,46,5,10,16,0,0,96,57.1,30.8,30.8,Clippers,0,2018-03-30,400975883
41-95,8-30,15-16,13,37,50,10,10,25,1,0,105,93.8,26.7,26.7,Trail Blazers,1,2018-03-30,400975883
40-88,9-21,9-12,9,33,42,5,17,19,0,0,98,75.0,42.9,42.9,Grizzlies,0,2018-04-01,400975900
39-84,12-38,23-25,8,35,43,2,13,15,1,0,113,92.0,31.6,31.6,Trail Blazers,1,2018-04-01,400975900
39-87,10-40,21-24,5,41,46,2,13,20,0,0,109,87.5,25.0,25.0,Trail Blazers,0,2018-04-03,400975910
42-92,17-44,14-20,8,35,43,5,7,16,0,0,115,70.0,38.6,38.6,Mavericks,1,2018-04-03,400975910
39-85,7-22,9-14,12,35,47,2,18,20,0,0,94,64.3,31.8,31.8,Trail Blazers,0,2018-04-05,400975923
34-73,13-37,15-24,6,32,38,5,15,16,2,0,96,62.5,35.1,35.1,Rockets,1,2018-04-05,400975923
42-88,11-28,10-11,11,29,40,5,13,17,0,0,105,90.9,39.3,39.3,Trail Blazers,0,2018-04-07,400975942
47-84,7-21,15-21,4,32,36,3,7,12,1,0,116,71.4,33.3,33.3,Spurs,1,2018-04-07,400975942
31-94,7-33,13-18,18,39,57,2,17,28,0,0,82,72.2,21.2,21.2,Trail Blazers,0,2018-04-09,400975957
31-83,6-26,20-26,10,42,52,5,12,18,0,0,88,76.9,23.1,23.1,Nuggets,1,2018-04-09,400975957
33-89,8-23,19-24,14,39,53,7,14,19,1,0,93,79.2,34.8,34.8,Jazz,0,2018-04-11,400975975
41-89,9-24,11-16,7,39,46,9,10,22,0,0,102,68.8,37.5,37.5,Trail Blazers,1,2018-04-11,400975975
33-83,12-45,27-29,12,32,44,3,14,14,2,0,105,93.1,26.7,26.7,Rockets,0,2017-10-18,400974768
42-88,8-23,8-10,9,33,42,4,17,20,1,0,100,80.0,34.8,34.8,Kings,1,2017-10-18,400974768
37-87,10-23,9-13,16,41,57,3,14,18,1,0,93,69.2,43.5,43.5,Kings,0,2017-10-20,400974776
31-75,11-33,15-21,7,29,36,7,12,13,0,0,88,71.4,33.3,33.3,Mavericks,1,2017-10-20,400974776
31-85,8-22,9-13,12,27,39,3,13,21,1,0,79,69.2,36.4,36.4,Kings,0,2017-10-21,400974786
37-85,10-30,12-20,18,40,58,2,16,19,0,0,96,60.0,33.3,33.3,Nuggets,1,2017-10-21,400974786
43-99,9-22,20-29,13,24,37,2,9,25,0,0,115,69.0,40.9,40.9,Kings,0,2017-10-23,400974799
42-77,10-30,23-27,6,39,45,5,20,25,0,0,117,85.2,33.3,33.3,Suns,1,2017-10-23,400974799
42-86,13-32,17-23,10,37,47,3,15,24,0,0,114,73.9,40.6,40.6,Pelicans,0,2017-10-26,400974820
38-81,7-20,23-25,5,29,34,5,12,17,1,0,106,92.0,35.0,35.0,Kings,1,2017-10-26,400974820
40-85,17-34,13-20,13,36,49,3,15,18,2,0,110,65.0,50.0,50.0,Wizards,0,2017-10-29,400974840
32-82,6-22,13-16,11,32,43,2,17,20,3,1,83,81.3,27.3,27.3,Kings,1,2017-10-29,400974840
37-88,2-14,7-14,9,36,45,5,14,18,1,0,83,50.0,14.3,14.3,Kings,0,2017-10-31,400974852
36-85,12-29,17-22,14,39,53,7,14,17,1,0,101,77.3,41.4,41.4,Pacers,1,2017-10-31,400974852
35-81,6-20,10-12,7,19,26,5,15,18,0,0,86,83.3,30.0,30.0,Kings,0,2017-11-01,400974860
40-82,17-41,16-19,16,36,52,3,15,19,3,0,113,84.2,41.5,41.5,Celtics,1,2017-11-01,400974860
40-76,10-21,9-13,3,29,32,1,17,23,1,0,99,69.2,47.6,47.6,Kings,0,2017-11-04,400974883
40-79,13-24,15-22,8,27,35,3,14,19,0,0,108,68.2,54.2,54.2,Pistons,1,2017-11-04,400974883
29-86,10-37,18-23,9,35,44,2,14,17,3,1,86,78.3,27.0,27.0,Thunder,0,2017-11-07,400974909
37-79,9-24,11-12,5,42,47,5,23,24,0,0,94,91.7,37.5,37.5,Kings,1,2017-11-07,400974909
37-87,15-37,19-27,13,43,56,5,17,28,0,0,108,70.4,40.5,40.5,76ers,0,2017-11-09,400974918
40-93,12-27,17-28,8,37,45,5,9,19,0,0,109,60.7,44.4,44.4,Kings,1,2017-11-09,400974918
30-80,7-22,24-30,11,31,42,4,13,18,0,0,91,80.0,31.8,31.8,Kings,0,2017-11-11,400974930
47-90,12-27,12-15,8,32,40,6,11,22,0,0,118,80.0,44.4,44.4,Knicks,1,2017-11-11,400974930
34-84,12-23,12-18,10,25,35,4,10,15,0,0,92,66.7,52.2,52.2,Kings,0,2017-11-13,400974943
44-86,11-34,11-12,10,40,50,1,11,21,0,0,110,91.7,32.4,32.4,Wizards,1,2017-11-13,400974943
31-88,6-28,12-20,11,18,29,2,12,19,0,0,80,60.0,21.4,21.4,Kings,0,2017-11-15,400974955
50-79,16-32,10-16,9,44,53,6,18,23,1,0,126,62.5,50.0,50.0,Hawks,1,2017-11-15,400974955
30-81,7-25,15-16,11,33,44,1,17,20,1,0,82,93.8,28.0,28.0,Trail Blazers,0,2017-11-17,400974976
36-85,4-14,10-15,12,31,43,5,13,22,0,0,86,66.7,28.6,28.6,Kings,1,2017-11-17,400974976
34-89,8-17,14-18,9,27,36,4,11,24,0,0,90,77.8,47.1,47.1,Kings,0,2017-11-18,400974985
38-70,10-21,16-21,5,39,44,8,17,22,1,0,102,76.2,47.6,47.6,Trail Blazers,1,2017-11-18,400974985
42-86,15-32,15-20,14,35,49,3,13,13,1,0,114,75.0,46.9,46.9,Nuggets,0,2017-11-20,400975002
41-86,8-20,8-9,5,29,34,6,12,19,1,0,98,88.9,40.0,40.0,Kings,1,2017-11-20,400975002
39-78,15-29,9-15,4,28,32,4,17,19,0,0,102,60.0,51.7,51.7,Lakers,0,2017-11-22,400975017
47-85,10-21,9-14,10,34,44,4,17,20,0,0,113,64.3,47.6,47.6,Kings,1,2017-11-22,400975017
38-80,9-28,12-13,6,31,37,5,16,13,2,0,97,92.3,32.1,32.1,Clippers,0,2017-11-25,400975037
38-83,11-21,8-9,8,29,37,8,18,17,0,0,95,88.9,52.4,52.4,Kings,1,2017-11-25,400975037
42-79,9-17,17-21,11,25,36,6,13,15,2,0,110,81.0,52.9,52.9,Kings,0,2017-11-27,400975047
40-80,16-37,10-14,9,27,36,6,14,15,1,0,106,71.4,43.2,43.2,Warriors,1,2017-11-27,400975047
42-71,9-22,19-31,1,37,38,5,12,22,0,0,112,61.3,40.9,40.9,Bucks,0,2017-11-28,400975053
31-77,5-17,20-29,9,31,40,2,16,21,2,0,87,69.0,29.4,29.4,Kings,1,2017-11-28,400975053
45-85,6-18,11-14,8,35,43,10,12,15,0,0,107,78.6,33.3,33.3,Kings,0,2017-12-01,400975073
42-90,13-36,9-13,8,30,38,2,8,16,1,0,106,69.2,36.1,36.1,Bulls,1,2017-12-01,400975073
37-77,11-24,19-21,6,27,33,1,15,28,2,0,104,90.5,45.8,45.8,Kings,0,2017-12-02,400975082
34-69,6-19,35-42,9,27,36,6,15,18,0,0,109,83.3,31.6,31.6,Bucks,1,2017-12-02,400975082
39-86,10-32,7-13,9,36,45,5,12,20,2,0,95,53.8,31.3,31.3,Kings,0,2017-12-06,400975104
37-78,14-39,13-21,7,36,43,3,15,10,0,0,101,61.9,35.9,35.9,Cavaliers,1,2017-12-06,400975104
47-97,13-30,9-14,11,35,46,4,17,21,3,0,116,64.3,43.3,43.3,Kings,0,2017-12-08,400975124
41-89,10-28,17-19,7,28,35,3,17,14,0,0,109,89.5,35.7,35.7,Pelicans,1,2017-12-08,400975124
39-87,11-37,13-19,12,32,44,2,13,17,0,0,102,68.4,29.7,29.7,Raptors,0,2017-12-10,400975136
35-73,10-23,7-14,7,35,42,6,21,17,0,0,87,50.0,43.5,43.5,Kings,1,2017-12-10,400975136
37-90,7-32,11-14,13,32,45,4,12,18,0,0,92,78.6,21.9,21.9,Suns,0,2017-12-12,400975154
38-89,7-22,16-22,11,34,45,3,9,18,0,0,99,72.7,31.8,31.8,Kings,1,2017-12-12,400975154
36-87,14-33,10-12,15,27,42,2,14,21,0,0,96,83.3,42.4,42.4,Kings,0,2017-12-14,400975167
46-82,10-21,17-20,8,31,39,9,9,19,1,0,119,85.0,47.6,47.6,Timberwolves,1,2017-12-14,400975167
38-81,11-26,6-8,6,26,32,9,15,19,2,0,93,75.0,42.3,42.3,Kings,0,2017-12-17,400975188
