team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Nets,102,0.407,0.4167,0.4722,9,29,21,9,6,11,2018-03-06
Nets,116,0.4494,0.5,0.7,11,36,25,4,5,12,2018-03-08
76ers,120,0.4526,0.4444,0.8148,13,29,30,9,3,5,2018-03-08
Mavericks,106,0.4457,0.5455,0.5455,13,32,25,5,3,10,2018-03-11
Nets,114,0.5119,0.3889,0.3889,10,33,25,4,6,10,2018-03-11
Grizzlies,115,0.5227,0.4348,0.5652,11,31,21,11,3,16,2018-03-13
Nets,118,0.5,0.4,0.75,9,32,27,5,9,22,2018-03-13
Hornets,111,0.383,0.1875,2.25,23,45,18,3,2,13,2018-03-16
Nets,105,0.4194,0.3514,0.3784,10,36,22,6,11,12,2018-03-16
Nets,112,0.4881,0.4074,0.7037,5,35,21,5,9,9,2018-03-17
Raptors,116,0.4767,0.5,0.7143,5,38,26,5,7,10,2018-03-17
Cavaliers,121,0.5057,0.4286,0.75,11,38,25,5,2,11,2018-03-19
Nets,114,0.4578,0.4595,0.5676,7,31,27,7,3,9,2018-03-19
Nets,111,0.4598,0.3529,0.5588,11,37,28,6,5,8,2018-03-21
Magic,104,0.4348,0.3548,0.4194,11,33,25,4,4,9,2018-03-21
Nets,110,0.4286,0.2857,0.6286,7,40,28,11,5,15,2018-03-23
Heat,109,0.4526,0.4118,0.9412,10,41,19,6,6,18,2018-03-23
Pistons,108,0.4524,0.3684,1.3158,10,43,17,9,3,9,2018-03-25
Nets,96,0.4253,0.2791,0.2326,6,34,23,5,5,12,2018-03-25
Nets,95,0.4198,0.4048,0.2381,3,33,20,5,6,18,2018-03-28
76ers,121,0.5495,0.4286,0.5714,7,48,28,10,10,10,2018-03-28
Nets,119,0.5467,0.4872,0.4615,4,37,30,3,12,17,2018-03-31
Bucks,111,0.4409,0.25,1.2,12,29,21,12,2,8,2018-03-31
Nets,124,0.5,0.4364,0.1455,5,41,36,11,10,13,2018-04-01
Bulls,96,0.4091,0.2069,0.6207,4,35,16,8,1,13,2018-04-01
Bulls,105,0.4831,0.4286,0.25,10,34,26,7,6,19,2018-04-03
Nets,114,0.5,0.4286,0.3333,6,32,32,8,10,17,2018-04-03
Knicks,84,0.4051,0.2917,0.5417,11,30,19,8,4,25,2018-04-05
Thunder,105,0.4333,0.2895,0.4211,13,28,26,14,7,18,2018-04-05
Pistons,111,0.4835,0.3,0.4667,15,28,21,5,2,12,2018-04-07
Knicks,107,0.4568,0.2667,0.8333,12,27,20,6,2,12,2018-04-07
Knicks,114,0.4719,0.4643,0.6071,11,40,27,9,6,14,2018-04-09
Cavaliers,95,0.3827,0.303,0.697,7,34,20,5,5,15,2018-04-09
Nuggets,110,0.4118,0.439,0.5366,13,23,20,13,5,13,2018-04-11
Knicks,116,0.5,0.4062,0.6562,11,38,27,8,10,22,2018-04-11
Rockets,119,0.4773,0.3654,0.3077,9,37,21,6,4,14,2017-10-19
Knicks,97,0.4333,0.3077,0.4231,6,36,23,8,1,19,2017-10-19
Suns,107,0.3505,0.2812,0.9375,20,27,17,7,3,10,2017-10-21
Knicks,120,0.5172,0.3077,0.8462,9,40,24,5,7,12,2017-10-21
Pacers,101,0.4684,0.48,0.6,4,30,24,6,2,12,2017-10-24
Knicks,108,0.5,0.2609,0.6087,12,34,24,8,7,12,2017-10-24
Hornets,113,0.4615,0.4054,0.3784,17,23,24,8,2,13,2017-10-27
Knicks,118,0.6,0.48,0.64,6,29,29,5,5,16,2017-10-27
Knicks,99,0.525,0.4167,0.8333,12,30,26,7,2,23,2017-10-29
