home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Trail Blazers,Pelicans,132,0.5057,0.5143,0.7429,8,38,26,4,4,14,119,0.4255,0.2759,1.069,14,30,23,7,3,12,1,2018-11-01
Celtics,Bucks,117,0.4457,0.4364,0.2,8,34,30,5,8,12,113,0.4824,0.3103,0.7586,8,37,20,8,3,14,1,2018-11-01
76ers,Clippers,122,0.4731,0.4815,0.7778,10,33,29,7,7,14,113,0.4419,0.3913,1.2174,8,34,19,6,7,18,1,2018-11-01
Hawks,Kings,115,0.4828,0.2581,0.7419,10,33,26,6,6,22,146,0.5408,0.4,0.7429,10,36,38,14,3,14,0,2018-11-01
Mavericks,Knicks,106,0.4938,0.3793,0.5172,11,29,22,6,1,18,118,0.5476,0.2414,0.6552,10,30,26,13,4,12,0,2018-11-02
Suns,Raptors,98,0.4396,0.3077,0.3846,12,37,20,3,4,15,107,0.5062,0.3636,0.3939,6,33,29,11,10,13,0,2018-11-02
Nets,Rockets,111,0.4941,0.4412,0.3529,9,29,22,5,4,10,119,0.494,0.3846,0.5641,11,30,22,4,10,9,0,2018-11-02
Bulls,Pacers,105,0.4719,0.4194,0.2581,11,32,33,2,7,14,107,0.4706,0.2692,0.7692,9,33,21,8,9,11,0,2018-11-02
Warriors,Timberwolves,116,0.4886,0.3824,0.5,12,49,31,3,9,16,99,0.3762,0.2889,0.2222,8,31,25,8,4,5,1,2018-11-02
Jazz,Grizzlies,100,0.4675,0.3889,0.3889,10,29,21,3,5,14,110,0.5067,0.5,0.8077,9,30,23,9,3,11,0,2018-11-02
Wizards,Thunder,111,0.5116,0.3,0.4667,6,24,27,6,4,18,134,0.5698,0.4688,0.6562,7,31,34,13,5,13,0,2018-11-02
Magic,Clippers,95,0.4444,0.2353,0.6471,8,32,20,7,4,10,120,0.4767,0.5,0.9615,10,40,22,5,3,13,0,2018-11-02
Trail Blazers,Lakers,110,0.4231,0.1714,0.4571,16,34,20,10,5,14,114,0.5233,0.381,0.7619,9,41,20,9,11,20,0,2018-11-03
Pacers,Celtics,102,0.4186,0.3438,0.5938,8,37,23,10,2,13,101,0.4318,0.413,0.1304,10,35,23,6,8,14,1,2018-11-03
76ers,Pistons,109,0.4058,0.3103,1.5172,3,42,21,11,3,17,99,0.3976,0.1667,0.9333,7,37,16,8,3,17,1,2018-11-03
Bulls,Rockets,88,0.3944,0.2609,1.1304,4,33,15,13,4,19,96,0.4217,0.3095,0.3095,10,35,21,13,5,18,0,2018-11-03
Hornets,Cavaliers,126,0.5714,0.3333,0.4,12,38,29,3,7,15,94,0.4321,0.3846,0.5385,3,23,22,10,2,13,1,2018-11-03
Nuggets,Jazz,103,0.494,0.3214,0.4286,8,40,32,8,0,17,88,0.4074,0.1935,0.5161,10,30,22,12,7,12,1,2018-11-03
Hawks,Heat,123,0.5227,0.4062,0.5625,8,29,33,11,7,16,118,0.4824,0.4,0.5,13,28,27,6,6,17,1,2018-11-03
Spurs,Pelicans,109,0.4688,0.3478,0.4783,8,35,29,8,4,9,95,0.4675,0.2857,0.8095,6,42,22,3,8,16,1,2018-11-03
Bucks,Kings,144,0.4842,0.3929,0.5357,10,46,30,6,7,12,109,0.4421,0.3889,0.3056,8,36,24,6,4,15,1,2018-11-04
Suns,Grizzlies,102,0.5156,0.4375,0.6875,5,32,25,7,3,24,100,0.4737,0.3043,0.9129999999999999,9,21,19,13,3,13,1,2018-11-04
Lakers,Raptors,107,0.4588,0.25,0.9583,6,32,25,6,4,16,121,0.5,0.2857,0.3714,13,36,32,9,4,12,0,2018-11-04
Wizards,Knicks,108,0.4337,0.2308,1.1538,15,32,21,12,11,13,95,0.4194,0.1852,0.4444,15,36,19,5,5,18,1,2018-11-04
Spurs,Magic,110,0.4318,0.3429,0.6286,10,33,25,3,5,11,117,0.5055,0.375,0.4062,11,32,29,7,4,8,0,2018-11-04
Nets,76ers,122,0.4762,0.3214,0.4643,15,23,27,11,3,9,97,0.4769,0.2,1.55,9,37,16,6,1,27,1,2018-11-04
Trail Blazers,Timberwolves,111,0.4419,0.25,1.0,17,49,15,7,1,16,81,0.3118,0.2333,0.5333,13,25,18,9,4,11,1,2018-11-04
Warriors,Grizzlies,117,0.5062,0.5417,0.9167,8,38,29,4,4,13,101,0.4578,0.3333,0.5926,4,26,31,8,8,10,1,2018-11-05
Pistons,Heat,115,0.4095,0.3143,0.5143,21,39,27,8,3,19,120,0.449,0.3871,0.6452,9,41,24,10,8,17,0,2018-11-05
Pacers,Rockets,94,0.44,0.2857,0.7143,7,32,17,8,3,15,98,0.4474,0.3191,0.3191,5,34,23,9,6,16,0,2018-11-05
Clippers,Timberwolves,120,0.4886,0.4516,0.6452,13,30,30,5,4,12,109,0.4706,0.2381,1.1429,8,30,20,9,8,11,1,2018-11-05
Nuggets,Celtics,115,0.4556,0.3824,0.5882,15,32,25,5,4,13,107,0.5057,0.2903,0.3226,7,33,22,9,9,12,1,2018-11-05
Knicks,Bulls,115,0.3868,0.2692,1.0,21,41,20,7,6,17,116,0.4526,0.2667,0.7333,11,37,15,9,9,19,0,2018-11-05
