home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Bulls,Pistons,87,0.3721,0.3235,0.3529,12,28,21,8,1,18,119,0.5281,0.4286,0.2857,7,40,27,12,4,11,0,2017-10-29
Pelicans,Spurs,122,0.5909,0.2632,0.6842,11,40,30,11,5,19,98,0.4022,0.3333,0.6667,12,26,22,9,1,17,1,2017-10-29
Nets,Nuggets,111,0.4062,0.3871,0.6774,17,39,24,5,4,15,124,0.5,0.55,0.95,4,42,23,7,7,6,0,2017-10-29
Magic,Bucks,104,0.4458,0.2667,0.7333,10,31,23,7,3,12,111,0.5244,0.36,0.64,8,33,28,7,4,12,0,2017-10-29
Timberwolves,Heat,97,0.4405,0.4118,0.9412,13,31,21,9,3,10,109,0.475,0.4872,0.359,9,33,29,4,4,13,0,2017-10-29
Clippers,Trail Blazers,109,0.4494,0.3913,0.8696,8,30,21,8,3,8,122,0.5,0.4828,0.5517,8,39,24,7,6,13,0,2017-10-30
Warriors,Spurs,122,0.5647,0.4444,0.5185,11,33,35,5,6,16,105,0.4574,0.1852,0.5185,11,23,30,8,5,10,1,2017-10-30
76ers,Wizards,118,0.4568,0.1667,2.2778,21,43,23,6,8,17,113,0.4045,0.4091,1.4545,7,28,22,8,4,11,1,2017-10-30
Celtics,Spurs,108,0.4773,0.3548,0.4194,15,39,24,10,6,13,94,0.4138,0.4615,0.3846,12,28,24,8,4,11,1,2017-10-30
Knicks,Kings,118,0.5222,0.4444,0.4444,8,32,29,6,6,11,91,0.375,0.3182,1.0909,11,31,19,6,4,13,1,2017-10-30
Bucks,Raptors,110,0.5325,0.4118,1.2353,5,23,26,4,4,11,129,0.5581,0.303,0.6970000000000001,12,31,25,9,5,11,0,2017-10-30
Spurs,Timberwolves,107,0.4607,0.381,0.8095,12,38,22,8,11,11,99,0.4353,0.4211,0.8947,11,31,23,7,4,13,1,2017-10-31
Heat,Trail Blazers,95,0.4722,0.4333,0.4667,10,26,19,6,1,15,102,0.5,0.3571,0.7143,5,28,14,7,2,11,0,2017-10-31
Suns,Heat,115,0.4545,0.4138,0.7931,6,28,20,4,2,11,126,0.5309,0.4,0.9333,11,42,21,5,4,14,0,2017-10-31
Nuggets,Rockets,114,0.4835,0.3448,0.5517,12,24,33,13,6,13,119,0.5065,0.4286,0.7429,11,31,18,7,3,18,0,2017-10-31
Bucks,Cavaliers,97,0.4634,0.3143,0.2857,8,22,23,9,2,14,116,0.5432,0.4231,0.6538,9,35,25,8,3,17,0,2017-10-31
Nets,Suns,114,0.4118,0.2903,0.6774,7,37,15,9,4,7,122,0.4688,0.4545,1.0,10,56,18,5,5,18,0,2017-10-31
Hornets,Kings,112,0.4419,0.4,0.5,11,37,22,4,10,15,107,0.4433,0.4545,0.5,10,32,27,8,3,7,1,2017-10-31
Heat,Magic,107,0.4505,0.3333,0.4242,16,37,22,11,5,15,89,0.4074,0.25,0.9,10,32,14,8,5,17,1,2017-11-01
Timberwolves,Clippers,123,0.5233,0.4,0.92,6,34,23,5,6,11,109,0.4301,0.3333,0.875,11,30,21,4,5,10,1,2017-11-01
Cavaliers,Magic,93,0.3837,0.28,0.8,11,33,15,4,7,16,114,0.4444,0.4857,0.4857,12,38,28,7,6,12,0,2017-11-01
Heat,Spurs,100,0.4625,0.3462,0.6538,4,28,19,6,2,9,117,0.5526,0.5882,1.3529,8,36,18,6,3,13,0,2017-11-01
Magic,Kings,99,0.4337,0.3548,0.5161,11,29,23,9,4,17,105,0.4943,0.3077,0.4231,11,33,24,9,11,14,0,2017-11-01
Raptors,Heat,89,0.3889,0.3333,0.5714,7,30,15,7,12,5,90,0.4021,0.1818,0.3636,20,44,18,2,14,13,0,2017-11-01
Celtics,Kings,113,0.4878,0.4146,0.3902,16,36,30,10,3,15,86,0.4321,0.3,0.5,7,19,24,10,5,15,1,2017-11-01
Bucks,Hawks,97,0.4318,0.32,0.52,14,34,23,6,10,10,92,0.3837,0.3429,0.4,14,36,21,7,6,12,1,2017-11-01
76ers,Pistons,108,0.40700000000000003,0.3571,1.0,17,30,27,7,4,17,103,0.4359,0.2903,0.8387,7,29,20,8,2,16,1,2017-11-01
Pistons,Trail Blazers,111,0.5,0.5,0.2667,10,41,36,7,4,14,91,0.3936,0.303,0.2121,13,32,18,9,5,13,1,2017-11-01
Knicks,Cavaliers,101,0.4318,0.32,0.68,13,36,19,13,3,17,104,0.3977,0.3556,0.4,14,34,21,7,7,20,0,2017-11-01
