pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome
110.89583333333334,0.481125,0.3701875,0.8106458333333335,10.020833333333332,32.25,22.1875,7.458333333333334,3.25,13.625,103.99206349206351,0.4646507936507936,0.33399999999999996,0.7960952380952382,8.626984126984128,31.468253968253972,22.182539682539684,7.769841269841269,4.5,14.0,1
114.625,0.4651666666666666,0.3432083333333333,0.5945416666666667,10.833333333333332,34.45833333333333,23.0,7.458333333333334,7.208333333333332,10.291666666666668,109.16666666666666,0.4639375,0.35425,0.6233333333333333,9.708333333333332,34.35416666666667,25.020833333333336,7.583333333333332,3.791666666666667,14.3125,1
111.5,0.4760416666666667,0.3965416666666667,0.6369166666666667,10.208333333333332,31.25,26.125,7.958333333333332,4.625,14.875,112.7,0.4324,0.3355,0.7170000000000001,11.1,34.4,21.4,8.8,4.1,15.3,1
103.84027777777777,0.4657847222222222,0.32956250000000004,0.7829791666666667,8.555555555555555,31.67361111111111,22.42361111111111,7.9930555555555545,4.9375,14.0625,103.70833333333334,0.429375,0.3517083333333333,0.9067083333333332,9.5,30.41666666666667,20.25,7.041666666666666,4.416666666666666,14.333333333333332,0
106.33035714285714,0.4385267857142857,0.3262142857142857,0.7642142857142857,12.151785714285715,34.276785714285715,18.9375,6.7857142857142865,5.508928571428571,14.9375,98.76666666666668,0.4092333333333333,0.3242333333333334,0.4314666666666667,11.233333333333334,35.63333333333333,21.86666666666667,8.833333333333332,3.1666666666666665,15.066666666666665,1
101.98809523809523,0.4465357142857144,0.3560833333333333,0.6661666666666667,11.11904761904762,33.38095238095238,23.142857142857146,7.607142857142858,5.321428571428571,12.38095238095238,113.76666666666668,0.4649,0.3563,0.5668,13.466666666666667,32.766666666666666,21.96666666666667,11.2,4.9,14.0,1
118.70238095238096,0.5327619047619048,0.4071190476190476,0.6013214285714286,8.928571428571429,33.54761904761905,30.345238095238088,7.297619047619047,7.773809523809524,16.023809523809522,111.6,0.461775,0.3593,0.5636749999999999,13.55,32.225,22.3,10.575,4.9,13.375,1
99.88888888888887,0.4550555555555556,0.3298888888888889,0.7873333333333334,11.666666666666668,32.55555555555556,22.11111111111111,7.388888888888888,3.833333333333333,14.944444444444445,113.19642857142857,0.4613571428571428,0.3423392857142857,0.5952321428571429,10.892857142857142,34.625,23.0,7.482142857142858,7.125,11.017857142857142,1
116.47222222222223,0.4732500000000001,0.3813055555555556,0.5828611111111109,9.722222222222221,33.66666666666667,21.666666666666664,8.36111111111111,5.111111111111111,12.25,101.92857142857142,0.4456428571428572,0.35878571428571426,0.6642142857142858,11.214285714285717,33.0,23.07142857142857,7.5,5.3571428571428585,12.5,1
101.65,0.45925,0.40195,0.59415,9.5,30.15,20.950000000000006,9.0,3.3,13.5,100.5,0.4305,0.2465,0.439,12.5,32.5,19.5,10.0,9.0,11.5,0
104.44642857142857,0.451375,0.3778214285714285,0.5643392857142857,10.660714285714283,36.80357142857143,23.80357142857143,9.089285714285717,3.9642857142857135,13.071428571428573,111.75,0.443,0.3315,0.6445,14.75,35.75,22.0,10.75,6.75,11.75,1
103.33333333333334,0.4515952380952382,0.2983095238095238,0.6391190476190476,9.30952380952381,34.404761904761905,20.61904761904762,5.595238095238094,4.690476190476192,15.88095238095238,110.9,0.4675,0.2589,0.7595,10.8,40.55,25.65,7.3,10.45,15.65,1
103.63333333333333,0.4328,0.34653333333333336,0.8850333333333333,9.6,30.66666666666667,21.1,7.166666666666666,4.666666666666666,14.133333333333333,103.875,0.4556785714285715,0.3281428571428572,0.6290357142857144,8.892857142857142,33.32142857142857,21.410714285714285,6.553571428571429,4.357142857142858,15.964285714285715,0
103.6625,0.4640624999999999,0.33201250000000004,0.7948125,8.55,31.7625,22.2125,8.1375,5.1375,14.2125,115.93650793650794,0.4748333333333334,0.3763174603174603,0.5731349206349206,9.531746031746033,34.09523809523809,21.785714285714285,8.206349206349206,5.015873015873017,12.5,0
106.75396825396824,0.441936507936508,0.32332539682539685,0.7606587301587302,12.047619047619047,34.60317460317461,19.722222222222218,6.674603174603174,5.404761904761906,14.666666666666668,103.28977272727272,0.4627897727272727,0.3311079545454546,0.7852670454545454,8.454545454545455,31.835227272727273,22.085227272727273,8.210227272727273,5.028409090909091,14.198863636363635,0
