team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
Nets,99,0.451,0.31,0.552,5,33,20,7,8,11,2018-01-27
Bucks,109,0.519,0.421,0.895,14,40,19,3,7,13,2018-01-30
Nets,94,0.411,0.31,0.379,11,25,25,5,1,9,2018-01-30
Rockets,123,0.556,0.485,0.515,8,32,16,7,7,11,2018-01-31
Nets,113,0.482,0.457,0.429,10,27,24,8,2,11,2018-01-31
Nets,106,0.433,0.333,0.216,8,42,33,4,6,19,2018-02-02
Pistons,115,0.478,0.375,0.75,8,38,20,10,3,7,2018-02-02
Pelicans,138,0.491,0.375,1.042,14,45,23,10,10,15,2018-02-04
Nets,128,0.377,0.356,0.356,18,42,30,10,3,15,2018-02-04
Clippers,114,0.565,0.375,0.75,8,35,19,8,6,15,2018-02-06
Nets,101,0.461,0.3,0.175,10,27,27,10,6,12,2018-02-06
Pacers,108,0.433,0.4,1.6,15,37,20,10,7,8,2018-02-07
Nets,103,0.422,0.371,0.571,9,35,24,4,2,13,2018-02-07
Nets,96,0.387,0.326,0.233,11,30,27,6,8,9,2018-02-10
Hornets,111,0.483,0.524,0.762,13,41,29,3,6,14,2018-02-10
Bulls,87,0.355,0.261,0.652,15,41,17,8,7,13,2018-02-12
Nets,104,0.444,0.381,0.19,7,41,31,4,9,15,2018-02-12
Nets,123,0.537,0.375,0.719,3,33,29,6,0,12,2018-02-14
Cavaliers,129,0.515,0.5,0.708,14,41,24,7,1,11,2018-02-14
Nets,111,0.417,0.37,0.304,16,35,27,10,4,21,2018-02-22
Kings,116,0.515,0.429,0.714,11,33,23,15,6,15,2018-02-22
Nets,120,0.435,0.422,0.467,13,31,30,8,4,14,2018-02-26
Clippers,123,0.524,0.37,0.926,7,33,18,12,6,10,2018-02-26
Nets,101,0.424,0.265,0.588,10,28,24,7,1,12,2018-02-27
Warriors,114,0.566,0.478,0.391,5,36,30,8,7,17,2018-02-27
Nets,125,0.511,0.344,0.625,9,34,30,7,7,10,2018-03-01
Hornets,111,0.482,0.211,1.316,6,30,19,5,5,13,2018-03-01
76ers,120,0.526,0.346,0.423,12,36,33,12,7,9,2018-03-04
Nets,97,0.388,0.357,0.75,13,29,17,5,5,18,2018-03-04
Raptors,116,0.484,0.355,0.548,13,40,27,7,6,11,2018-03-06
Nets,102,0.407,0.417,0.472,9,29,21,9,6,11,2018-03-06
Nets,116,0.449,0.5,0.7,11,36,25,4,5,12,2018-03-08
76ers,120,0.453,0.444,0.815,13,29,30,9,3,5,2018-03-08
Mavericks,106,0.446,0.545,0.545,13,32,25,5,3,10,2018-03-11
Nets,114,0.512,0.389,0.389,10,33,25,4,6,10,2018-03-11
Grizzlies,115,0.523,0.435,0.565,11,31,21,11,3,16,2018-03-13
Nets,118,0.5,0.4,0.75,9,32,27,5,9,22,2018-03-13
Hornets,111,0.383,0.188,2.25,23,45,18,3,2,13,2018-03-16
Nets,105,0.419,0.351,0.378,10,36,22,6,11,12,2018-03-16
Nets,112,0.488,0.407,0.704,5,35,21,5,9,9,2018-03-17
Raptors,116,0.477,0.5,0.714,5,38,26,5,7,10,2018-03-17
Cavaliers,121,0.506,0.429,0.75,11,38,25,5,2,11,2018-03-19
Nets,114,0.458,0.459,0.568,7,31,27,7,3,9,2018-03-19
Nets,111,0.46,0.353,0.559,11,37,28,6,5,8,2018-03-21
Magic,104,0.435,0.355,0.419,11,33,25,4,4,9,2018-03-21
Nets,110,0.429,0.286,0.629,7,40,28,11,5,15,2018-03-23
Heat,109,0.453,0.412,0.941,10,41,19,6,6,18,2018-03-23
Pistons,108,0.452,0.368,1.316,10,43,17,9,3,9,2018-03-25
Nets,96,0.425,0.279,0.233,6,34,23,5,5,12,2018-03-25
Nets,95,0.42,0.405,0.238,3,33,20,5,6,18,2018-03-28
